,Position
2017-10-04 14:03:33.909700,STATE2a
2017-10-04 14:03:34.510100,STATE2b
2017-10-04 14:03:35.110000,STATE3
2017-10-04 14:04:08.909700,STATE4a
2017-10-04 14:04:09.510000,STATE4b
2017-10-04 14:04:10.109500,STATE1
2017-10-04 14:04:43.910000,STATE2a
2017-10-04 14:04:44.509300,STATE2b
2017-10-04 14:04:45.109900,STATE3
2017-10-04 14:05:18.910000,STATE4a
2017-10-04 14:05:19.509200,STATE4b
2017-10-04 14:05:20.109500,STATE1
2017-10-04 14:05:53.910100,STATE2a
2017-10-04 14:05:54.509900,STATE2b
2017-10-04 14:05:55.109900,STATE3
2017-10-04 14:06:28.910100,STATE4a
2017-10-04 14:06:29.509499,STATE4b
2017-10-04 14:06:30.109100,STATE1
2017-10-04 14:07:03.910000,STATE2a
2017-10-04 14:07:04.510200,STATE2b
2017-10-04 14:07:05.109800,STATE3
2017-10-04 14:07:38.909200,STATE4a
2017-10-04 14:07:39.510100,STATE4b
2017-10-04 14:07:40.109400,STATE1
2017-10-04 14:08:13.909300,STATE2a
2017-10-04 14:08:14.509600,STATE2b
2017-10-04 14:08:15.109200,STATE3
2017-10-04 14:08:48.909100,STATE4a
2017-10-04 14:08:49.509300,STATE4b
2017-10-04 14:08:50.110000,STATE1
2017-10-04 14:09:23.909400,STATE2a
2017-10-04 14:09:24.510200,STATE2b
2017-10-04 14:09:25.109800,STATE3
2017-10-04 14:09:58.909700,STATE4a
2017-10-04 14:09:59.510000,STATE4b
2017-10-04 14:10:00.109100,STATE1
2017-10-04 14:10:33.909800,STATE2a
2017-10-04 14:10:34.509200,STATE2b
2017-10-04 14:10:35.109200,STATE3
2017-10-04 14:11:08.909200,STATE4a
2017-10-04 14:11:09.509499,STATE4b
2017-10-04 14:11:10.109500,STATE1
2017-10-04 14:11:43.910600,STATE2a
2017-10-04 14:11:44.509499,STATE2b
2017-10-04 14:11:45.109800,STATE3
2017-10-04 14:12:18.909300,STATE4a
2017-10-04 14:12:19.509800,STATE4b
2017-10-04 14:12:20.109200,STATE1
2017-10-04 14:12:53.910000,STATE2a
2017-10-04 14:12:54.509300,STATE2b
2017-10-04 14:12:55.109600,STATE3
2017-10-04 14:13:28.909200,STATE4a
2017-10-04 14:13:29.509900,STATE4b
2017-10-04 14:13:30.109500,STATE1
2017-10-04 14:14:03.909600,STATE2a
2017-10-04 14:14:04.509700,STATE2b
2017-10-04 14:14:05.109700,STATE3
2017-10-04 14:14:38.909900,STATE4a
2017-10-04 14:14:39.509800,STATE4b
2017-10-04 14:14:40.109400,STATE1
2017-10-04 14:15:13.909400,STATE2a
2017-10-04 14:15:14.509700,STATE2b
2017-10-04 14:15:15.109400,STATE3
2017-10-04 14:15:48.909400,STATE4a
2017-10-04 14:15:49.509200,STATE4b
2017-10-04 14:15:50.109500,STATE1
2017-10-04 14:16:23.909900,STATE2a
2017-10-04 14:16:24.509700,STATE2b
2017-10-04 14:16:25.109300,STATE3
2017-10-04 14:16:58.910000,STATE4a
2017-10-04 14:16:59.509600,STATE4b
2017-10-04 14:17:00.109200,STATE1
2017-10-04 14:17:33.909400,STATE2a
2017-10-04 14:17:34.510200,STATE2b
2017-10-04 14:17:35.109300,STATE3
2017-10-04 14:18:08.909100,STATE4a
2017-10-04 14:18:09.509399,STATE4b
2017-10-04 14:18:10.109100,STATE1
2017-10-04 14:18:43.908800,STATE2a
2017-10-04 14:18:44.508700,STATE2b
2017-10-04 14:18:45.109400,STATE3
